31357422000142,59,vesolengenharia@gmail.com,2714,BILR5-72HBD-550-30,484.0299085000001,142403,PE,RECIFE
31357422000142,59,vesolengenharia@gmail.com,2708,Q-TERM-10,61.20816,142403,PE,RECIFE
31357422000142,59,vesolengenharia@gmail.com,2700,Q-12-10-240,79.32580230399999,142403,PE,RECIFE
31357422000142,59,vesolengenharia@gmail.com,2732,Q-DISC-10,11.77514,142403,PE,RECIFE
31357422000142,59,vesolengenharia@gmail.com,2699,IQ7AM-72-2-US,397.0959942365,142403,PE,RECIFE
31357422000142,59,vesolengenharia@gmail.com,2683,TRILHOPC,139.11612,142403,PE,RECIFE
31357422000142,59,vesolengenharia@gmail.com,2724,160/019,2.218906,142403,PE,RECIFE
31357422000142,59,vesolengenharia@gmail.com,2684,KITPCFMD250,160.51860000000002,142403,PE,RECIFE
30696820000120,60,vcveivo@gmail.com,2708,Q-TERM-10,61.20816,142439,PR,IGUARACU
30696820000120,60,vcveivo@gmail.com,2700,Q-12-10-240,79.32580230399999,142439,PR,IGUARACU
30696820000120,60,vcveivo@gmail.com,2723,CT-200-SPLIT,125.50751445830001,142439,PR,IGUARACU
30696820000120,60,vcveivo@gmail.com,2721,ENV-IQ-AM3-3P,1218.1319489999998,142439,PR,IGUARACU
30696820000120,60,vcveivo@gmail.com,2758,DAHMO555,440.79068341,142439,PR,IGUARACU
30696820000120,60,vcveivo@gmail.com,2687,IQ8P-72-2-BR,533.54301,142439,PR,IGUARACU
10384567000405,66,comercial@dynamisimportadora.com.br,2721,ENV-IQ-AM3-3P,1613.4198,142523,AM,MANAUS
27285729000108,55,fabio@renovaeng.com.br,2720,ENV-S-AM1-230-60,664.9624,142297,DF,BRASILIA
27285729000108,55,fabio@renovaeng.com.br,2687,IQ8P-72-2-BR,533.54301,142297,DF,BRASILIA
27285729000108,55,fabio@renovaeng.com.br,2700,Q-12-10-240,79.32580230399999,142297,DF,BRASILIA
27285729000108,55,fabio@renovaeng.com.br,2708,Q-TERM-10,61.20816,142297,DF,BRASILIA
27285729000108,55,fabio@renovaeng.com.br,2714,BILR5-72HBD-550-30,484.0299085000001,142297,DF,BRASILIA
27285729000108,55,fabio@renovaeng.com.br,2732,Q-DISC-10,11.77514,142297,DF,BRASILIA
27285729000108,55,fabio@renovaeng.com.br,2726,CT-100-SPLIT,125.51,142297,DF,BRASILIA
30696820000120,60,vcveivo@gmail.com,2633,MIDCLAMP,4.9043,142448,PR,IGUARACU
35556599000129,51,vendas@prismaengseg.com.br,2732,Q-DISC-10,0.0,142287,MT,SINOP
35556599000129,51,vendas@prismaengseg.com.br,2717,ENV-IQ-AM1-240,0.0,142287,MT,SINOP
35556599000129,51,vendas@prismaengseg.com.br,2708,Q-TERM-10,0.0,142287,MT,SINOP
35556599000129,51,vendas@prismaengseg.com.br,2723,CT-200-SPLIT,0.0,142287,MT,SINOP
35556599000129,51,vendas@prismaengseg.com.br,2692,KITPCTM,0.0,142287,MT,SINOP
35556599000129,51,vendas@prismaengseg.com.br,2683,TRILHOPC,0.0,142287,MT,SINOP
35556599000129,51,vendas@prismaengseg.com.br,2724,160/019,0.0,142287,MT,SINOP
35556599000129,51,vendas@prismaengseg.com.br,2700,Q-12-10-240,0.0,142287,MT,SINOP
35556599000129,51,vendas@prismaengseg.com.br,2699,IQ7AM-72-2-US,0.0,142287,MT,SINOP
35556599000129,51,vendas@prismaengseg.com.br,2755,DAHMO585,0.0,142287,MT,SINOP
30696820000120,60,vcveivo@gmail.com,2716,HIMO6LR5-72HTH-580,529.2458678338392,142466,PR,IGUARACU
30696820000120,60,vcveivo@gmail.com,2708,Q-TERM-10,61.20816,142466,PR,IGUARACU
30696820000120,60,vcveivo@gmail.com,2700,Q-12-10-240,79.32580230399999,142466,PR,IGUARACU
30696820000120,60,vcveivo@gmail.com,2723,CT-200-SPLIT,125.50751445830001,142466,PR,IGUARACU
30696820000120,60,vcveivo@gmail.com,2717,ENV-IQ-AM1-240,925.93955,142466,PR,IGUARACU
30696820000120,60,vcveivo@gmail.com,2732,Q-DISC-10,11.77514,142466,PR,IGUARACU
30696820000120,60,vcveivo@gmail.com,2687,IQ8P-72-2-BR,533.54301,142466,PR,IGUARACU
45582479000150,82,financeirosinop@123solar.com.br,2746,SG75CX-P2,19992.932,142574,MT,SINOP
45582479000150,82,financeirosinop@123solar.com.br,2649,15321/008,3989.965,142574,MT,SINOP
45582479000150,82,financeirosinop@123solar.com.br,2640,15320/008,3990.023,142574,MT,SINOP
45582479000150,82,financeirosinop@123solar.com.br,2758,DAHMO555,440.791,142574,MT,SINOP
45582479000150,82,financeirosinop@123solar.com.br,2634,MC4/009,8.932,142574,MT,SINOP
27285729000108,55,fabio@renovaeng.com.br,2638,SE6000HV,3682.589,142618,DF,BRASILIA
27285729000108,55,fabio@renovaeng.com.br,2671,P601,279.504,142618,DF,BRASILIA
